Name,X,Y,Lon,Lat,Color,Label,Desc,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,fai,ndvi
pin_49,8724.5,10002.5,106.7129144,10.85066961,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1605,0.1336,0.1193,0.0924,0.1017,0.1436,0.1506,0.1917,0.1642,0.0309,0.0716,0.0335,0.10319587,0.3495248
pin_50,8723.5,10002.5,106.712823,10.85067012,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1614,0.1331,0.1184,0.0895,0.1053,0.1607,0.1948,0.1992,0.2023,0.0286,0.0793,0.0384,0.11161048,0.37997922
pin_51,8723.5,9996.5,106.712826,10.85121252,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1613,0.1335,0.1157,0.0905,0.0959,0.1305,0.1409,0.1361,0.1354,0.0196,0.0544,0.0267,0.052361585,0.20123565
pin_52,8716.5,9992.5,106.7121879,10.85157769,"java.awt.Color[r=0,g=0,b=255]",W,,0.1612,0.1371,0.1172,0.0945,0.0927,0.0951,0.1005,0.084,0.0925,0.0171,0.0435,0.0317,-9.48E-04,-0.058823526
pin_53,8708.5,9990.5,106.7114574,10.85176256,"java.awt.Color[r=0,g=0,b=255]",W,,0.1597,0.1334,0.1145,0.0905,0.0921,0.093,0.1008,0.0821,0.0951,0.0165,0.0411,0.0258,8.53E-04,-0.048667446
pin_54,8693.5,9991.5,106.7100851,10.85167978,"java.awt.Color[r=0,g=0,b=255]",W,,0.1581,0.1318,0.1129,0.0868,0.0874,0.0917,0.0955,0.0775,0.0864,0.0164,0.0355,0.0235,3.09E-04,-0.05660378
pin_55,8663.5,9997.5,106.7073384,10.85115261,"java.awt.Color[r=0,g=0,b=255]",W,,0.1584,0.1332,0.1134,0.0893,0.0887,0.0917,0.0935,0.079,0.0865,0.0182,0.0393,0.026,-9.35E-04,-0.06120021
pin_56,8681.5,10000.5,106.708983,10.85087227,"java.awt.Color[r=0,g=0,b=255]",W,,0.1567,0.1295,0.1102,0.0841,0.0853,0.0881,0.0952,0.0806,0.0842,0.0151,0.0345,0.0226,0.00579016,-0.021250756
pin_57,8649.5,9996.5,106.7060586,10.85125011,"java.awt.Color[r=0,g=0,b=255]",W,,0.1577,0.1348,0.1173,0.0924,0.0947,0.0959,0.1022,0.0872,0.0919,0.0229,0.0433,0.0279,0.00399651,-0.028953223
pin_58,8676.5,9991.5,106.7085304,10.85168842,"java.awt.Color[r=0,g=0,b=255]",W,,0.1572,0.1294,0.1099,0.0841,0.0854,0.0859,0.088,0.0721,0.0777,0.0139,0.0296,0.0184,-0.001792065,-0.0768246
pin_59,8634.5,9995.5,106.7046873,10.85134811,"java.awt.Color[r=0,g=0,b=255]",W,,0.1598,0.1337,0.1146,0.0895,0.094,0.0925,0.0987,0.0817,0.0916,0.0155,0.045,0.0335,5.35E-04,-0.04556078
pin_60,8625.5,9994.5,106.7038648,10.85144307,"java.awt.Color[r=0,g=0,b=255]",W,,0.1604,0.1328,0.1147,0.0929,0.0969,0.0953,0.1005,0.083,0.0917,0.0156,0.0424,0.0286,-4.41E-04,-0.056282
pin_61,8560.5,10017.5,106.6979087,10.8493967,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1652,0.133,0.1195,0.0899,0.1036,0.1399,0.1638,0.1731,0.1705,0.0272,0.0651,0.0391,0.08784507,0.31634977
pin_62,8561.5,10008.5,106.6980047,10.8502098,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1703,0.1387,0.1241,0.0964,0.1187,0.1596,0.1746,0.1763,0.1861,0.0294,0.1266,0.0802,0.07424349,0.292996
pin_63,8568.5,10005.5,106.6986464,10.85047747,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1612,0.1331,0.1161,0.0887,0.0975,0.1276,0.1361,0.1404,0.1315,0.0177,0.0546,0.0305,0.058086995,0.22566569
pin_64,8572.5,10003.5,106.6990132,10.85065626,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1612,0.1343,0.1161,0.0885,0.0929,0.1051,0.1108,0.1183,0.1052,0.0177,0.0439,0.0231,0.03815365,0.14410058
pin_65,8583.5,10003.5,106.7000192,10.8506507,"java.awt.Color[r=0,g=0,b=255]",W,,0.1607,0.136,0.1159,0.0946,0.0949,0.0969,0.1032,0.0859,0.0937,0.0161,0.0486,0.0331,-8.41E-05,-0.048199438
pin_66,8572.5,10019.5,106.6990051,10.84920984,"java.awt.Color[r=0,g=0,b=255]",W,,0.1591,0.1313,0.1122,0.0861,0.0892,0.0898,0.0933,0.0773,0.084,0.0145,0.0318,0.021,0.001370475,-0.053855572
pin_67,8558.5,10034.5,106.6977171,10.84786089,"java.awt.Color[r=0,g=0,b=255]",W,,0.1623,0.1356,0.1178,0.094,0.0981,0.1053,0.1109,0.0929,0.1031,0.0173,0.0525,0.0381,0.006673019,-0.00588548
pin_68,8569.5,10031.5,106.6987246,10.84812654,"java.awt.Color[r=0,g=0,b=255]",W,,0.1574,0.1306,0.1117,0.0846,0.0892,0.0939,0.0985,0.0798,0.0893,0.0187,0.0293,0.0176,0.005557779,-0.029197074
pin_69,2419.5,5790.5,106.1376985,11.23419564,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1553,0.1279,0.1202,0.0911,0.1051,0.1673,0.1812,0.1867,0.1793,0.0193,0.0636,0.0281,0.1007508,0.34413248
pin_70,2419.5,5788.5,106.1376992,11.23437648,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1568,0.1248,0.1182,0.0871,0.1045,0.1721,0.1983,0.2114,0.1849,0.0172,0.0632,0.0288,0.1287765,0.41641542
pin_71,2407.5,5766.5,106.1366078,11.23636993,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1581,0.1306,0.1217,0.0959,0.1022,0.129,0.146,0.157,0.1377,0.0146,0.0406,0.0213,0.07145778,0.24159749
pin_72,2414.5,5780.5,106.137244,11.2351016,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1568,0.132,0.1234,0.1008,0.1025,0.1223,0.1401,0.1324,0.1241,0.0159,0.0375,0.0184,0.043456197,0.13550602
